nucleus,Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,Unnamed: 17
P3,Intensity Max,211,211,211,0,211,211,211,211,1,,Surface,1,,Image 1,,81,
P3,Intensity Max,224,224,224,0,224,224,224,224,1,,Surface,1,,Image 1,,82,
P3,Intensity Max,236,236,236,0,236,236,236,236,1,,Surface,1,,Image 1,,83,
P3,Intensity Max,231,231,231,0,231,231,231,231,1,,Surface,1,,Image 1,,84,
P3,Intensity Max,238,238,238,0,238,238,238,238,1,,Surface,1,,Image 1,,85,
P3,Intensity Max,228,228,228,0,228,228,228,228,1,,Surface,1,,Image 1,,86,
P3,Intensity Max,237,237,237,0,237,237,237,237,1,,Surface,1,,Image 1,,87,
P3,Intensity Max,220,220,220,0,220,220,220,220,1,,Surface,1,,Image 1,,88,
P3,Intensity Max,239,239,239,0,239,239,239,239,1,,Surface,1,,Image 1,,89,
P3,Intensity Max,222,222,222,0,222,222,222,222,1,,Surface,1,,Image 1,,90,
P3,Intensity Max,264,264,264,0,264,264,264,264,1,,Surface,1,,Image 1,,91,
P3,Intensity Max,227,227,227,0,227,227,227,227,1,,Surface,1,,Image 1,,92,
P3,Intensity Max,252,252,252,0,252,252,252,252,1,,Surface,1,,Image 1,,93,
P3,Intensity Max,263,263,263,0,263,263,263,263,1,,Surface,1,,Image 1,,94,
P3,Intensity Max,256,256,256,0,256,256,256,256,1,,Surface,1,,Image 1,,95,
P3,Intensity Max,255,255,255,0,255,255,255,255,1,,Surface,1,,Image 1,,96,
C,Intensity Max,420,420,420,0,420,420,420,420,1,,Surface,1,,Image 1,,26,
C,Intensity Max,1336,1336,1336,0,1336,1336,1336,1336,1,,Surface,1,,Image 1,,27,
C,Intensity Max,1559,1559,1559,0,1559,1559,1559,1559,1,,Surface,1,,Image 1,,28,
C,Intensity Max,876,876,876,0,876,876,876,876,1,,Surface,1,,Image 1,,29,
C,Intensity Max,1549,1549,1549,0,1549,1549,1549,1549,1,,Surface,1,,Image 1,,30,
C,Intensity Max,1269,1269,1269,0,1269,1269,1269,1269,1,,Surface,1,,Image 1,,31,
C,Intensity Max,1354,1354,1354,0,1354,1354,1354,1354,1,,Surface,1,,Image 1,,32,
C,Intensity Max,2083,2083,2083,0,2083,2083,2083,2083,1,,Surface,1,,Image 1,,33,
C,Intensity Max,1572,1572,1572,0,1572,1572,1572,1572,1,,Surface,1,,Image 1,,34,
C,Intensity Max,2074,2074,2074,0,2074,2074,2074,2074,1,,Surface,1,,Image 1,,35,
C,Intensity Max,2780,2780,2780,0,2780,2780,2780,2780,1,,Surface,1,,Image 1,,36,
C,Intensity Max,2360,2360,2360,0,2360,2360,2360,2360,1,,Surface,1,,Image 1,,37,
C,Intensity Max,2565,2565,2565,0,2565,2565,2565,2565,1,,Surface,1,,Image 1,,38,
C,Intensity Max,2858,2858,2858,0,2858,2858,2858,2858,1,,Surface,1,,Image 1,,39,
C,Intensity Max,3079,3079,3079,0,3079,3079,3079,3079,1,,Surface,1,,Image 1,,40,
C,Intensity Max,2507,2507,2507,0,2507,2507,2507,2507,1,,Surface,1,,Image 1,,41,
C,Intensity Max,1323,1323,1323,0,1323,1323,1323,1323,1,,Surface,1,,Image 1,,42,
C,Intensity Max,424,424,424,0,424,424,424,424,1,,Surface,1,,Image 1,,43,
C,Intensity Max,382,382,382,0,382,382,382,382,1,,Surface,1,,Image 1,,44,
C,Intensity Max,290,290,290,0,290,290,290,290,1,,Surface,1,,Image 1,,45,
C,Intensity Max,280,280,280,0,280,280,280,280,1,,Surface,1,,Image 1,,46,
C,Intensity Max,317,317,317,0,317,317,317,317,1,,Surface,1,,Image 1,,47,
C,Intensity Max,306,306,306,0,306,306,306,306,1,,Surface,1,,Image 1,,48,
C,Intensity Max,236,236,236,0,236,236,236,236,1,,Surface,1,,Image 1,,49,
